Customer_ID,Document Number,Document Date,Net due date,Amount in doc. curr.,Document type,Local Currency,Posting Date,Payment date,Invoice reference,Document currency,Eff.exchange rate,Clearing Document,Name 1
106115369,1123001199,16/08/2023,16/08/2023,"2,730,075.58",RV,NGN,16/08/2023,19/08/2023,1123001199,NGN,1,6023013399,MOTA-ENGIL NIGERIA LIMITED
106115369,1123001207,17/08/2023,17/08/2023,"4,907.37",RV,NGN,17/08/2023,19/08/2023,1123001207,NGN,1,6023013399,MOTA-ENGIL NIGERIA LIMITED
1001539815,1123000923,26/06/2023,26/06/2023,"340,782.53",RV,NGN,26/06/2023,26/07/2023,1123000923,NGN,1,6023011873,TRIANN NUTZEN SOLUTIONS LIMITED
4000330272,1123000980,30/06/2023,30/06/2023,"5,903,153.84",RV,NGN,30/06/2023,11/07/2023,1123000980,NGN,1,6023011380,Rockford Multiconcepts Limited
4000325913,1123001080,24/07/2023,24/07/2023,"9,782,500.00",RV,NGN,24/07/2023,11/08/2023,1123001080,NGN,1,6023013127,SHOOLIN FZE
106117516,1123001135,03/08/2023,03/08/2023,"505,857.16",RV,NGN,03/08/2023,24/08/2023,1123001135,NGN,1,6023013564,Medicus Industries Limited
106120126,1123001253,29/08/2023,29/08/2023,"3,225,000.00",RV,NGN,29/08/2023,05/09/2023,1123001253,NGN,1,6023014752,MACI-JUNK NIGERIA LIMITED
1001559645,1123001635,04/12/2023,04/12/2023,"262,320.16",RV,NGN,04/12/2023,31/12/2023,1123001635,USD,800.94737,6023021493,TRILLIUM FLOW TECHNOLOGIES
1001582445,1123001557,17/11/2023,17/11/2023,"284,875.00",RV,NGN,17/11/2023,20/11/2023,1123001557,NGN,1,6023018908,TOWER ROLLING AND GALVANIZING MILLS
1001130191,1122000818,04/07/2022,04/07/2022,"161,250.00",RV,NGN,04/07/2022,30/11/2022,1122000818,NGN,1,6022015915,GENERATOR SALES
1001130191,1122001169,05/09/2022,24/11/2022,"483,750.00",RV,NGN,05/09/2022,30/11/2022,1122001169,NGN,1,6022015915,GENERATOR SALES
1001130191,1122001170,05/09/2022,24/11/2022,"161,250.00",RV,NGN,05/09/2022,30/11/2022,1122001170,NGN,1,6022015915,GENERATOR SALES
1001130191,1122001171,05/09/2022,04/03/2023,"161,250.00",RV,NGN,05/09/2022,30/11/2022,1122001171,NGN,1,6022015915,GENERATOR SALES
1001130191,1122001172,05/09/2022,05/10/2022,"322,500.00",RV,NGN,05/09/2022,30/11/2022,1122001172,NGN,1,6022015915,GENERATOR SALES
1001130191,1122001801,13/12/2022,12/01/2023,"322,500.00",RV,NGN,13/12/2022,24/05/2023,1122001801,NGN,1,6023008106,GENERATOR SALES
1001121621,1122000205,07/03/2022,22/03/2022,"7,611,017.09",RV,NGN,07/03/2022,25/04/2022,1122000205,NGN,1,1322002043,Nigeria LNG Limited
